"filename", "language", "C#", "XML", "JSON", "XAML", "Markdown", "Properties", "comment", "blank", "total"
"e:\project\2025\TROIEditor\TROIEditor\App.xaml", "XAML", 0, 0, 0, 17, 0, 0, 0, 0, 17
"e:\project\2025\TROIEditor\TROIEditor\App.xaml.cs", "C#", 9, 0, 0, 0, 0, 0, 3, 3, 15
"e:\project\2025\TROIEditor\TROIEditor\AssemblyInfo.cs", "C#", 5, 0, 0, 0, 0, 0, 4, 2, 11
"e:\project\2025\TROIEditor\TROIEditor\Configuration.md", "Markdown", 0, 0, 0, 0, 73, 0, 0, 0, 73
"e:\project\2025\TROIEditor\TROIEditor\Controls\RoiEditorControl.xaml", "XAML", 0, 0, 0, 67, 0, 0, 0, 0, 67
"e:\project\2025\TROIEditor\TROIEditor\Controls\RoiEditorControl.xaml.cs", "C#", 1127, 0, 0, 0, 0, 0, 0, 0, 1127
"e:\project\2025\TROIEditor\TROIEditor\MainWindow.xaml", "XAML", 0, 0, 0, 11, 0, 0, 0, 2, 13
"e:\project\2025\TROIEditor\TROIEditor\MainWindow.xaml.cs", "C#", 45, 0, 0, 0, 0, 0, 0, 0, 45
"e:\project\2025\TROIEditor\TROIEditor\Models\RoiCombineMode.cs", "C#", 43, 0, 0, 0, 0, 0, 0, 0, 43
"e:\project\2025\TROIEditor\TROIEditor\Models\RoiHitType.cs", "C#", 73, 0, 0, 0, 0, 0, 0, 0, 73
"e:\project\2025\TROIEditor\TROIEditor\Models\RoiTool.cs", "C#", 83, 0, 0, 0, 0, 0, 0, 0, 83
"e:\project\2025\TROIEditor\TROIEditor\Models\Roi\ArcRoi.cs", "C#", 505, 0, 0, 0, 0, 0, 0, 0, 505
"e:\project\2025\TROIEditor\TROIEditor\Models\Roi\CircleRoi.cs", "C#", 164, 0, 0, 0, 0, 0, 0, 0, 164
"e:\project\2025\TROIEditor\TROIEditor\Models\Roi\EllipseRoi.cs", "C#", 325, 0, 0, 0, 0, 0, 0, 0, 325
"e:\project\2025\TROIEditor\TROIEditor\Models\Roi\GeometryRoi.cs", "C#", 287, 0, 0, 0, 0, 0, 0, 0, 287
"e:\project\2025\TROIEditor\TROIEditor\Models\Roi\PolygonRoi.cs", "C#", 506, 0, 0, 0, 0, 0, 0, 0, 506
"e:\project\2025\TROIEditor\TROIEditor\Models\Roi\RectRoi.cs", "C#", 315, 0, 0, 0, 0, 0, 0, 0, 315
"e:\project\2025\TROIEditor\TROIEditor\Models\Roi\RoiBase.cs", "C#", 342, 0, 0, 0, 0, 0, 0, 0, 342
"e:\project\2025\TROIEditor\TROIEditor\README.md", "Markdown", 0, 0, 0, 0, 334, 0, 0, 0, 334
"e:\project\2025\TROIEditor\TROIEditor\SampleApp\ViewModels\RoiEditorDemoViewModel.cs", "C#", 207, 0, 0, 0, 0, 0, 0, 0, 207
"e:\project\2025\TROIEditor\TROIEditor\SampleApp\Views\RoiEditorDemoWindow.xaml", "XAML", 0, 0, 0, 732, 0, 0, 0, 0, 732
"e:\project\2025\TROIEditor\TROIEditor\SampleApp\Views\RoiEditorDemoWindow.xaml.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 37
"e:\project\2025\TROIEditor\TROIEditor\Services\GeometryBooleanService.cs", "C#", 397, 0, 0, 0, 0, 0, 0, 0, 397
"e:\project\2025\TROIEditor\TROIEditor\Services\HitTestService.cs", "C#", 555, 0, 0, 0, 0, 0, 0, 0, 555
"e:\project\2025\TROIEditor\TROIEditor\Services\MaskExportService.cs", "C#", 592, 0, 0, 0, 0, 0, 0, 0, 592
"e:\project\2025\TROIEditor\TROIEditor\Services\TransformService.cs", "C#", 443, 0, 0, 0, 0, 0, 0, 0, 443
"e:\project\2025\TROIEditor\TROIEditor\TROIEditor.csproj", "XML", 0, 12, 0, 0, 0, 0, 0, 4, 16
"e:\project\2025\TROIEditor\TROIEditor\ViewModels\RoiEditorViewModel.cs", "C#", 3318, 0, 0, 0, 0, 0, 0, 0, 3318
"e:\project\2025\TROIEditor\TROIEditor\bin\Debug\net8.0-windows\TROIEditor.deps.json", "JSON", 0, 0, 41, 0, 0, 0, 0, 0, 41
"e:\project\2025\TROIEditor\TROIEditor\bin\Debug\net8.0-windows\TROIEditor.runtimeconfig.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 20
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 0, 1, 1, 5
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\App.g.cs", "C#", 43, 0, 0, 0, 0, 0, 18, 11, 72
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\App.g.i.cs", "C#", 43, 0, 0, 0, 0, 0, 18, 11, 72
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\Controls\RoiEditorControl.g.cs", "C#", 69, 0, 0, 0, 0, 0, 15, 18, 102
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\Controls\RoiEditorControl.g.i.cs", "C#", 69, 0, 0, 0, 0, 0, 15, 18, 102
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\GeneratedInternalTypeHelper.g.cs", "C#", 26, 0, 0, 0, 0, 0, 27, 10, 63
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\GeneratedInternalTypeHelper.g.i.cs", "C#", 26, 0, 0, 0, 0, 0, 27, 10, 63
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\MainWindow.g.cs", "C#", 50, 0, 0, 0, 0, 0, 15, 12, 77
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\MainWindow.g.i.cs", "C#", 50, 0, 0, 0, 0, 0, 15, 12, 77
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\SampleApp\Views\RoiEditorDemoWindow.g.cs", "C#", 57, 0, 0, 0, 0, 0, 15, 13, 85
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\SampleApp\Views\RoiEditorDemoWindow.g.i.cs", "C#", 57, 0, 0, 0, 0, 0, 15, 13, 85
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 9, 5, 25
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor.designer.deps.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 28
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor.designer.runtimeconfig.json", "JSON", 0, 0, 26, 0, 0, 0, 0, 0, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_0khymdu1_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_0khymdu1_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_0khymdu1_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_5d2ypyxl_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_5d2ypyxl_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_5d2ypyxl_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_5djg5100_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_5djg5100_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_5djg5100_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_atigpr3l_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_atigpr3l_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_atigpr3l_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_frgmh2oc_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_frgmh2oc_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_frgmh2oc_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_g0gpft5z_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_g0gpft5z_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_g0gpft5z_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_gmq50gfi_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_gmq50gfi_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_gmq50gfi_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_mhfb5vmj_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_mhfb5vmj_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_mhfb5vmj_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_qjmx0t4d_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_qjmx0t4d_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_qjmx0t4d_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_sswhkxrf_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_sswhkxrf_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_sswhkxrf_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_tfrhgqwr_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_tfrhgqwr_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_tfrhgqwr_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_w3v0y4tx_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_w3v0y4tx_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_w3v0y4tx_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_wrjp40mv_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_wrjp40mv_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_wrjp40mv_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_yaotywpv_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_yaotywpv_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_yaotywpv_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_zobgbrf5_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_zobgbrf5_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_zobgbrf5_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_zp13eayf_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_zp13eayf_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_zp13eayf_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor.csproj.nuget.dgspec.json", "JSON", 0, 0, 83, 0, 0, 0, 0, 0, 83
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 16
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 6
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_g0gpft5z_wpftmp.csproj.nuget.dgspec.json", "JSON", 0, 0, 83, 0, 0, 0, 0, 0, 83
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_g0gpft5z_wpftmp.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 16
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_g0gpft5z_wpftmp.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 6
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_qjmx0t4d_wpftmp.csproj.nuget.dgspec.json", "JSON", 0, 0, 83, 0, 0, 0, 0, 0, 83
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_qjmx0t4d_wpftmp.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 16
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_qjmx0t4d_wpftmp.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 6
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_w3v0y4tx_wpftmp.csproj.nuget.dgspec.json", "JSON", 0, 0, 83, 0, 0, 0, 0, 0, 83
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_w3v0y4tx_wpftmp.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 16
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_w3v0y4tx_wpftmp.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 6
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_wrjp40mv_wpftmp.csproj.nuget.dgspec.json", "JSON", 0, 0, 83, 0, 0, 0, 0, 0, 83
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_wrjp40mv_wpftmp.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 16
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_wrjp40mv_wpftmp.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 6
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_yaotywpv_wpftmp.csproj.nuget.dgspec.json", "JSON", 0, 0, 83, 0, 0, 0, 0, 0, 83
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_yaotywpv_wpftmp.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 16
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_yaotywpv_wpftmp.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 6
"e:\project\2025\TROIEditor\TROIEditor\obj\project.assets.json", "JSON", 0, 0, 151, 0, 0, 0, 0, 0, 151
"Total", "-", 10143, 144, 764, 827, 407, 357, 374, 259, 13275